"Tabela","Coluna","Problema","Severidade","TipoBanco","TipoModelo"
"Abastecimento","KmRodadoNormalizado","COLUNA_NAO_MAPEADA","ALTO","int?","N/A"
"Abastecimento","LitrosNormalizado","COLUNA_NAO_MAPEADA","ALTO","double?","N/A"
"Abastecimento","ConsumoCalculado","COLUNA_NAO_MAPEADA","ALTO","decimal?","N/A"
"Abastecimento","ConsumoNormalizado","COLUNA_NAO_MAPEADA","ALTO","decimal?","N/A"
"Abastecimento","EhOutlier","COLUNA_NAO_MAPEADA","ALTO","bool?","N/A"
"Abastecimento","VeiculoList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>"
"Abastecimento","CombustivelList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>"
"Abastecimento","Abastecimento","PROPRIEDADE_EXTRA","MEDIO","N/A","Abastecimento"
"Abastecimento","MotoristaList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>"
"AlertasFrotiX","TipoAlerta","TIPO_INCOMPATIVEL","CRITICO","int","TipoAlerta"
"AlertasFrotiX","Prioridade","TIPO_INCOMPATIVEL","CRITICO","int","PrioridadeAlerta"
"AlertasFrotiX","TipoExibicao","TIPO_INCOMPATIVEL","CRITICO","int","TipoExibicaoAlerta"
"AlertasFrotiX","Recorrente","COLUNA_NAO_MAPEADA","ALTO","string","N/A"
"AlertasFrotiX","Intervalo","COLUNA_NAO_MAPEADA","ALTO","string","N/A"
"AlertasFrotiX","DataFinalRecorrencia","COLUNA_NAO_MAPEADA","ALTO","DateTime?","N/A"
"AlertasFrotiX","DataApagado","PROPRIEDADE_EXTRA","MEDIO","N/A","DateTime?"
"AlertasFrotiX","DataNotificacao","PROPRIEDADE_EXTRA","MEDIO","N/A","DateTime?"
"AlertasFrotiX","AlertasUsuarioId","PROPRIEDADE_EXTRA","MEDIO","N/A","Guid"
"AlertasFrotiX","UsuarioId","PROPRIEDADE_EXTRA","MEDIO","N/A","string"
"AlertasFrotiX","Notificado","PROPRIEDADE_EXTRA","MEDIO","N/A","bool"
"AlertasFrotiX","Lido","PROPRIEDADE_EXTRA","MEDIO","N/A","bool"
"AlertasFrotiX","DataLeitura","PROPRIEDADE_EXTRA","MEDIO","N/A","DateTime?"
"AlertasFrotiX","Apagado","PROPRIEDADE_EXTRA","MEDIO","N/A","bool"
"AlertasUsuario","N/A","TABELA_SEM_MODELO","BAIXO","N/A","N/A"
"AtaRegistroPrecos","UsuarioIdAlteracao","COLUNA_NAO_MAPEADA","ALTO","string","N/A"
"AtaRegistroPrecos","DataAlteracao","COLUNA_NAO_MAPEADA","ALTO","DateTime?","N/A"
