TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME
dbo,Abastecimento,ConsumoCalculado
dbo,Abastecimento,ConsumoNormalizado
dbo,Abastecimento,EhOutlier
dbo,Abastecimento,KmRodadoNormalizado
dbo,Abastecimento,LitrosNormalizado
dbo,AlertasFrotiX,AlertasFrotiXId
dbo,AlertasFrotiX,DataDesativacao
dbo,AlertasFrotiX,DataExibicao
dbo,AlertasFrotiX,DataExpiracao
dbo,AlertasFrotiX,DataFinalRecorrencia
dbo,AlertasFrotiX,DataInsercao
dbo,AlertasFrotiX,DatasSelecionadas
dbo,AlertasFrotiX,DesativadoPor
dbo,AlertasFrotiX,Descricao
dbo,AlertasFrotiX,DiaMesRecorrencia
dbo,AlertasFrotiX,HorarioExibicao
dbo,AlertasFrotiX,Intervalo
dbo,AlertasFrotiX,ManutencaoId
dbo,AlertasFrotiX,MotivoDesativacao
dbo,AlertasFrotiX,MotoristaId
dbo,AlertasFrotiX,Prioridade
dbo,AlertasFrotiX,RecorrenciaAlertaId
dbo,AlertasFrotiX,Recorrente
dbo,AlertasFrotiX,TipoAlerta
dbo,AlertasFrotiX,TipoExibicao
dbo,AlertasFrotiX,Titulo
dbo,AlertasFrotiX,UsuarioCriadorId
dbo,AlertasFrotiX,VeiculoId
dbo,AlertasFrotiX,ViagemId
dbo,AlertasUsuario,AlertasFrotiXId
dbo,AlertasUsuario,AlertasUsuarioId
dbo,AlertasUsuario,Apagado
dbo,AlertasUsuario,DataApagado
dbo,AlertasUsuario,DataLeitura
dbo,AlertasUsuario,DataNotificacao
dbo,AlertasUsuario,UsuarioId
dbo,AspNetUsers,AccessFailedCount
dbo,AspNetUsers,ConcurrencyStamp
dbo,AspNetUsers,Criacao
dbo,AspNetUsers,DetentorCargaPatrimonial
dbo,AspNetUsers,Discriminator
dbo,AspNetUsers,Email
dbo,AspNetUsers,EmailConfirmed
dbo,AspNetUsers,Foto
dbo,AspNetUsers,Id
dbo,AspNetUsers,LockoutEnabled
dbo,AspNetUsers,LockoutEnd
dbo,AspNetUsers,NomeCompleto
dbo,AspNetUsers,NormalizedEmail
dbo,AspNetUsers,NormalizedUserName
dbo,AspNetUsers,PasswordHash
dbo,AspNetUsers,PhoneNumber
dbo,AspNetUsers,PhoneNumberConfirmed
dbo,AspNetUsers,Ponto
dbo,AspNetUsers,PrecisaMudarSenha
dbo,AspNetUsers,Ramal
dbo,AspNetUsers,SecurityStamp
dbo,AspNetUsers,Status
dbo,AspNetUsers,TwoFactorEnabled
dbo,AspNetUsers,UltimoLogin
dbo,AspNetUsers,UserName
dbo,AspNetUsers,UsuarioIdAlteracao
dbo,AspNetUsers,Vistoriador
dbo,AtaRegistroPrecos,DataAlteracao
dbo,AtaRegistroPrecos,UsuarioIdAlteracao
dbo,Contrato,DataAlteracao
dbo,Contrato,UsuarioIdAlteracao
dbo,ControleAcesso,UsuarioId
dbo,CorridasTaxiLeg,Valor
dbo,Encarregado,Celular01
dbo,Encarregado,Celular02
dbo,Encarregado,ContratoId
dbo,Encarregado,CPF
dbo,Encarregado,DataAlteracao
dbo,Encarregado,DataIngresso
dbo,Encarregado,DataNascimento
dbo,Encarregado,EncarregadoId
dbo,Encarregado,Foto
dbo,Encarregado,Nome
dbo,Encarregado,Ponto
dbo,Encarregado,Status
dbo,Encarregado,UsuarioIdAlteracao
dbo,Evento,DataFinal
dbo,Evento,DataInicial
dbo,Evento,Descricao
dbo,Evento,EventoId
dbo,Evento,Nome
dbo,Evento,QtdParticipantes
dbo,Evento,RequisitanteId
dbo,Evento,SetorSolicitanteId
dbo,Evento,Status
dbo,Lavagem,Horario
dbo,ModeloVeiculo,DescricaoModelo
dbo,ModeloVeiculo,MarcaId
dbo,ModeloVeiculo,ModeloId
dbo,ModeloVeiculo,Status
dbo,Motorista,CategoriaCNH
dbo,Motorista,Celular01
dbo,Motorista,Celular02
dbo,Motorista,CNH
dbo,Motorista,CNHDigital
dbo,Motorista,CodMotoristaQCard
dbo,Motorista,CondutorId
dbo,Motorista,ContratoId
dbo,Motorista,CPF
dbo,Motorista,DataAlteracao
dbo,Motorista,DataIngresso
dbo,Motorista,DataNascimento
dbo,Motorista,DataVencimentoCNH
dbo,Motorista,EfetivoFerista
dbo,Motorista,Foto
dbo,Motorista,MotoristaId
dbo,Motorista,Nome
dbo,Motorista,OrigemIndicacao
dbo,Motorista,Ponto
dbo,Motorista,Status
dbo,Motorista,TipoCondutor
dbo,Motorista,UnidadeId
dbo,Motorista,UsuarioIdAlteracao
dbo,Multa,AtaVeiculoId
dbo,Multa,AutuacaoPDF
dbo,Multa,ComprovantePDF
dbo,Multa,ContratoMotoristaId
dbo,Multa,ContratoVeiculoId
dbo,Multa,Data
dbo,Multa,DataLimite
dbo,Multa,DataNotificacao
dbo,Multa,DataPagamento
dbo,Multa,EmpenhoMultaId
dbo,Multa,EnviadaSecle
dbo,Multa,Fase
dbo,Multa,FormaPagamento
dbo,Multa,Hora
dbo,Multa,Localizacao
dbo,Multa,MotoristaId
dbo,Multa,MultaId
dbo,Multa,NoFichaVistoria
dbo,Multa,NumInfracao
dbo,Multa,Observacao
dbo,Multa,OrgaoAutuanteId
dbo,Multa,OutrosDocumentosPDF
dbo,Multa,Paga
dbo,Multa,PenalidadePDF
dbo,Multa,ProcessoEDoc
dbo,Multa,ProcessoEdocPDF
dbo,Multa,Status
dbo,Multa,TipoMultaId
dbo,Multa,ValorAteVencimento
dbo,Multa,ValorPago
dbo,Multa,ValorPosVencimento
dbo,Multa,VeiculoId
dbo,Multa,Vencimento
dbo,Operador,Celular01
dbo,Operador,Celular02
dbo,Operador,ContratoId
dbo,Operador,CPF
dbo,Operador,DataAlteracao
dbo,Operador,DataIngresso
dbo,Operador,DataNascimento
dbo,Operador,Foto
dbo,Operador,Nome
dbo,Operador,OperadorId
dbo,Operador,Ponto
dbo,Operador,Status
dbo,Operador,UsuarioIdAlteracao
dbo,PlacaBronze,DescricaoPlaca
dbo,PlacaBronze,PlacaBronzeId
dbo,PlacaBronze,Status
dbo,RepactuacaoAta,Valor
dbo,Requisitante,DataAlteracao
dbo,Requisitante,Email
dbo,Requisitante,Nome
dbo,Requisitante,Ponto
dbo,Requisitante,Ramal
dbo,Requisitante,RequisitanteId
dbo,Requisitante,SetorSolicitanteId
dbo,Requisitante,Status
dbo,Requisitante,UsuarioIdAlteracao
dbo,Unidade,Categoria
dbo,Unidade,Descricao
dbo,Unidade,PontoPrimeiroContato
dbo,Unidade,PontoSegundoContato
dbo,Unidade,PontoTerceiroContato
dbo,Unidade,PrimeiroContato
dbo,Unidade,PrimeiroRamal
dbo,Unidade,QtdMotoristas
dbo,Unidade,SegundoContato
dbo,Unidade,SegundoRamal
dbo,Unidade,Sigla
dbo,Unidade,Status
dbo,Unidade,TerceiroContato
dbo,Unidade,TerceiroRamal
dbo,Unidade,UnidadeId
dbo,VeiculoPadraoViagem,AvgDuracaoMinutos
dbo,VeiculoPadraoViagem,AvgKmPorDia
dbo,VeiculoPadraoViagem,AvgKmPorViagem
dbo,VeiculoPadraoViagem,DataCriacao
dbo,VeiculoPadraoViagem,DesvioPadraoDuracaoMinutos
dbo,VeiculoPadraoViagem,DesvioPadraoKm
dbo,VeiculoPadraoViagem,IQRKm
dbo,VeiculoPadraoViagem,LimiteInferiorKm
dbo,VeiculoPadraoViagem,LimiteSuperiorKm
dbo,VeiculoPadraoViagem,MaxDuracaoNormalMinutos
dbo,VeiculoPadraoViagem,MaxKmNormalPorViagem
dbo,VeiculoPadraoViagem,MedianaDuracaoMinutos
dbo,VeiculoPadraoViagem,MedianaKm
dbo,VeiculoPadraoViagem,MedianaMinutos
dbo,VeiculoPadraoViagem,MinDuracaoMinutos
dbo,VeiculoPadraoViagem,Percentil95Duracao
dbo,VeiculoPadraoViagem,Percentil99Duracao
dbo,VeiculoPadraoViagem,Q1Km
dbo,VeiculoPadraoViagem,Q3Km
dbo,VeiculoPadraoViagem,TotalViagensAnalisadas
dbo,VeiculoPadraoViagem,TotalViagensRealizadas
dbo,VeiculoPadraoViagem,VeiculoPadraoViagemId
dbo,Viagem,AgendamentoTMP
dbo,Viagem,DanoAvaria
dbo,Viagem,DanoAvariaFinal
dbo,Viagem,DatasSelecionadas
dbo,Viagem,DescricaoOcorrencia
dbo,Viagem,DescricaoSolucaoOcorrencia
dbo,Viagem,FotosBase64
dbo,Viagem,FotosFinaisBase64
dbo,Viagem,Id
dbo,Viagem,ImagemOcorrencia
dbo,Viagem,ItemManutencaoId
dbo,Viagem,ResumoOcorrencia
dbo,Viagem,StatusOcorrencia
dbo,Viagem,VideosBase64
dbo,Viagem,VideosFinaisBase64
dbo,ViagemEstatistica,KmMedio
dbo,ViagemEstatistica,KmTotal
dbo,ViagemEstatistica,MinutosMedio
dbo,ViagemEstatistica,MinutosTotal
dbo,ViewAbastecimentos,Data
dbo,ViewAbastecimentos,Hora
dbo,ViewAbastecimentos,RowNum
dbo,ViewCustosViagem,CustoMotoristaFormatado
dbo,ViewEventos,SiglaSetor
dbo,ViewFluxoEconomildo,IdaVolta
dbo,ViewFluxoEconomildo,Responsavel
dbo,ViewMotoristas,RowNum
dbo,ViewMultas,Artigo
dbo,ViewMultas,AutuacaoPDF
dbo,ViewMultas,ComprovantePDF
dbo,ViewMultas,Data
dbo,ViewMultas,DataOriginal
dbo,ViewMultas,DataPagamento
dbo,ViewMultas,Descricao
dbo,ViewMultas,Fase
dbo,ViewMultas,Hora
dbo,ViewMultas,Localizacao
dbo,ViewMultas,MotoristaId
dbo,ViewMultas,MultaId
dbo,ViewMultas,Nome
dbo,ViewMultas,NumInfracao
dbo,ViewMultas,Observacao
dbo,ViewMultas,OrgaoAutuanteId
