TABLE_SCHEMA,TABLE_NAME,ObjectType
dbo,AnosDisponiveisVeiculo,TABLE
dbo,AspNetRoleClaims,TABLE
dbo,AspNetRoles,TABLE
dbo,AspNetUserClaims,TABLE
dbo,AspNetUserLogins,TABLE
dbo,AspNetUserRoles,TABLE
dbo,AspNetUserTokens,TABLE
dbo,CondutorApoio,TABLE
dbo,Contatos,TABLE
dbo,ControleAcesso_BACKUP,TABLE
dbo,DocumentoContrato,TABLE
dbo,EstatisticaVeiculoAnoFabricacao,TABLE
dbo,EstatisticaVeiculoCategoria,TABLE
dbo,EstatisticaVeiculoCombustivel,TABLE
dbo,EstatisticaVeiculoGeral,TABLE
dbo,EstatisticaVeiculoModelo,TABLE
dbo,EstatisticaVeiculoRankingConsumo,TABLE
dbo,EstatisticaVeiculoRankingKm,TABLE
dbo,EstatisticaVeiculoRankingLitros,TABLE
dbo,EstatisticaVeiculoStatus,TABLE
dbo,EstatisticaVeiculoUnidade,TABLE
dbo,EstatisticaVeiculoUsoMensal,TABLE
dbo,LogErros,TABLE
dbo,Perfis,TABLE
dbo,Recurso_BACKUP,TABLE
dbo,SchemaChangeLog,TABLE
dbo,sysdiagrams,TABLE
dbo,tr_AppLock,TABLE
dbo,tr_Object,TABLE
dbo,tr_Set,TABLE
dbo,tr_String,TABLE
dbo,Usuarios,TABLE
dbo,WhatsAppContatos,TABLE
dbo,WhatsAppFilaMensagens,TABLE
dbo,WhatsAppInstancias,TABLE
dbo,WhatsAppMensagens,TABLE
dbo,WhatsAppWebhookLogs,TABLE
DocGenerator,DocumentationAlerts,TABLE
DocGenerator,FileTracking,TABLE
dbo,ViewAbastecimentosItensPBI,VIEW
dbo,ViewAbastecimentosPBI,VIEW
dbo,ViewAbastecimentosPBIAta,VIEW
dbo,ViewAbastecimentosPBIContrato,VIEW
dbo,ViewAbastecimentosPBIProprio,VIEW
dbo,ViewAlertasAtivos,VIEW
dbo,ViewAlocacaoMotorista,VIEW
dbo,ViewCalculaMediana (backup),VIEW
dbo,ViewContratoFornecedor_Veiculos,VIEW
dbo,ViewCustoAbastecimento,VIEW
dbo,ViewCustosFinalidade,VIEW
dbo,ViewCustosMotoristas,VIEW
dbo,ViewCustosMotoristas_Individual,VIEW
dbo,ViewCustosTemporaria,VIEW
dbo,ViewCustosVeiculos,VIEW
dbo,ViewEdocMultas,VIEW
dbo,ViewFichaViagem,VIEW
dbo,ViewManutencao.ATUAL,VIEW
dbo,ViewManutencao.OLD,VIEW
dbo,ViewManutencao_2025.11.04,VIEW
dbo,ViewManutencao_Ultima,VIEW
dbo,ViewManutencaoAberta_Base,VIEW
dbo,ViewMotoristas_original,VIEW
dbo,ViewMotoristas_Ultimo,VIEW
dbo,ViewMotoristasMulta,VIEW
dbo,ViewMotoristasViagem_Ultimo,VIEW
dbo,ViewSabrina,VIEW
dbo,ViewTeste,VIEW
dbo,ViewVeiculoCompleto,VIEW
dbo,ViewVeiculos_Original,VIEW
dbo,ViewVeiculos_Ultima,VIEW
dbo,ViewViagens_Sergio,VIEW
dbo,vw_RankingMotoristasPorPeriodo,VIEW
DocGenerator,vw_FilesNeedingUpdate,VIEW
