ObjectName,ColumnName,SourcePath
CoberturaFolga,Ativo,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
CoberturaFolga,CoberturaId,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
CoberturaFolga,DataAlteracao,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
CoberturaFolga,DataCriacao,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
CoberturaFolga,DataFim,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
CoberturaFolga,DataInicio,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
CoberturaFolga,Motivo,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
CoberturaFolga,MotoristaCoberturaId,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
CoberturaFolga,MotoristaFolgaId,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
CoberturaFolga,Observacoes,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
CoberturaFolga,StatusOriginal,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
CoberturaFolga,UsuarioIdAlteracao,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
EscalaDiaria,AssociacaoId,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
EscalaDiaria,Ativo,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
EscalaDiaria,DataAlteracao,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
EscalaDiaria,DataCriacao,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
EscalaDiaria,DataEscala,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
EscalaDiaria,EscalaDiaId,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
EscalaDiaria,HoraFim,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
EscalaDiaria,HoraInicio,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
EscalaDiaria,HoraIntervaloFim,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
EscalaDiaria,HoraIntervaloInicio,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
EscalaDiaria,Lotacao,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
EscalaDiaria,NumeroSaidas,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
EscalaDiaria,Observacoes,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
EscalaDiaria,RequisitanteId,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
EscalaDiaria,StatusMotorista,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
EscalaDiaria,TipoServicoId,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
EscalaDiaria,TurnoId,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
EscalaDiaria,UsuarioIdAlteracao,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
Ferias,Ativo,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
Ferias,DataAlteracao,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
Ferias,DataCriacao,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
Ferias,DataFim,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
Ferias,DataInicio,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
Ferias,FeriasId,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
Ferias,MotoristaId,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
Ferias,MotoristaSubId,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
Ferias,Observacoes,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
Ferias,UsuarioIdAlteracao,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
FolgaRecesso,Ativo,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
FolgaRecesso,DataAlteracao,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
FolgaRecesso,DataCriacao,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
FolgaRecesso,DataFim,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
FolgaRecesso,DataInicio,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
FolgaRecesso,FolgaId,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
FolgaRecesso,MotoristaId,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
FolgaRecesso,Observacoes,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
FolgaRecesso,Tipo,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
FolgaRecesso,UsuarioIdAlteracao,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
Lavagem,HorarioLavagem,FrotiX.Site.OLD\Models\Cadastros\Lavagem.cs
LogErro,Arquivo,FrotiX.Site.OLD\Models\LogErro.cs
LogErro,Categoria,FrotiX.Site.OLD\Models\LogErro.cs
LogErro,Coluna,FrotiX.Site.OLD\Models\LogErro.cs
LogErro,CriadoEm,FrotiX.Site.OLD\Models\LogErro.cs
LogErro,DadosAdicionais,FrotiX.Site.OLD\Models\LogErro.cs
LogErro,DataHora,FrotiX.Site.OLD\Models\LogErro.cs
LogErro,DataResolucao,FrotiX.Site.OLD\Models\LogErro.cs
LogErro,ExceptionMessage,FrotiX.Site.OLD\Models\LogErro.cs
LogErro,ExceptionType,FrotiX.Site.OLD\Models\LogErro.cs
LogErro,HashErro,FrotiX.Site.OLD\Models\LogErro.cs
LogErro,HttpMethod,FrotiX.Site.OLD\Models\LogErro.cs
LogErro,InnerException,FrotiX.Site.OLD\Models\LogErro.cs
LogErro,IpAddress,FrotiX.Site.OLD\Models\LogErro.cs
LogErro,Linha,FrotiX.Site.OLD\Models\LogErro.cs
LogErro,LogErroId,FrotiX.Site.OLD\Models\LogErro.cs
LogErro,Mensagem,FrotiX.Site.OLD\Models\LogErro.cs
LogErro,MensagemCurta,FrotiX.Site.OLD\Models\LogErro.cs
LogErro,Metodo,FrotiX.Site.OLD\Models\LogErro.cs
LogErro,Nivel,FrotiX.Site.OLD\Models\LogErro.cs
LogErro,Observacoes,FrotiX.Site.OLD\Models\LogErro.cs
LogErro,Origem,FrotiX.Site.OLD\Models\LogErro.cs
